hour_of_day,day_of_week,month,holiday,weekday,summertime,temp,dew,humidity,precip,snow,snowdepth,windspeed,cloudcover,visibility,increase_stock
5,5,1,0,0,0,-7.2,-15.0,53.68,0.0,0,0.0,16.3,31.6,16.0,low_bike_demand
21,4,1,0,1,0,-1.3,-12.8,40.97,0.0,0,0.0,23.9,85.7,16.0,low_bike_demand
21,3,8,0,1,1,26.9,21.8,73.39,0.0,0,0.0,0.0,81.1,16.0,low_bike_demand
1,6,1,0,0,0,3.1,-4.0,59.74,0.0,0,0.0,19.2,0.0,16.0,low_bike_demand
17,0,3,0,1,0,11.7,-11.4,18.71,0.0,0,0.0,10.5,44.6,16.0,low_bike_demand
17,3,3,0,1,1,27.1,12.8,40.98,0.0,0,0.0,13.6,81.3,16.0,high_bike_demand
20,4,7,0,1,1,30.9,24.3,67.71,0.0,0,0.0,20.3,50.3,16.0,low_bike_demand
0,1,12,0,1,0,4.9,-1.7,62.46,0.0,0,0.0,21.5,100.0,16.0,low_bike_demand
18,0,11,0,1,0,16.6,13.8,83.56,0.0,0,0.0,18.1,88.9,16.0,low_bike_demand
7,5,1,0,0,0,-4.5,-12.2,55.14,0.0,0,0.0,12.4,24.4,16.0,low_bike_demand
7,3,9,0,1,1,18.7,15.0,78.74,0.0,0,0.0,9.2,46.2,16.0,high_bike_demand
23,5,5,0,0,1,13.5,2.1,46.11,0.0,0,0.0,14.2,0.0,16.0,low_bike_demand
8,2,9,0,1,1,23.2,21.7,91.18,0.0,0,0.0,10.6,61.7,16.0,low_bike_demand
6,1,6,0,1,1,24.8,22.9,89.07,0.0,0,0.0,0.0,90.1,14.0,low_bike_demand
8,6,2,0,0,0,3.7,-2.3,65.11,0.0,0,0.0,11.0,92.9,16.0,low_bike_demand
23,6,12,0,0,0,4.5,-6.6,44.44,0.0,0,0.0,7.1,24.4,16.0,low_bike_demand
18,4,12,1,1,0,10.5,-1.0,44.62,0.0,0,0.0,0.8,92.7,16.0,low_bike_demand
16,6,12,0,0,0,0.0,-12.8,37.61,0.0,0,0.0,14.8,0.0,16.0,low_bike_demand
21,2,9,0,1,1,23.2,21.2,88.49,0.0,0,0.0,16.4,79.3,16.0,low_bike_demand
6,0,7,0,1,1,24.2,21.7,86.23,0.0,0,0.0,15.6,90.1,15.8,low_bike_demand
14,5,4,0,0,1,17.7,12.9,73.11,0.0,0,0.0,7.1,100.0,16.0,high_bike_demand
17,1,9,0,1,1,21.6,5.6,35.2,0.0,0,0.0,13.5,24.4,16.0,high_bike_demand
0,5,1,0,0,0,12.8,11.3,90.18,0.0,0,0.0,12.2,99.6,16.0,low_bike_demand
19,3,12,0,1,0,6.6,1.5,69.97,0.0,0,0.0,19.9,99.8,16.0,low_bike_demand
23,0,7,0,1,1,23.7,21.1,85.64,0.0,0,0.0,7.3,81.1,15.9,low_bike_demand
17,1,10,0,1,1,17.1,14.3,83.55,0.0,0,0.0,5.3,100.0,15.9,high_bike_demand
10,1,12,0,1,0,1.0,-6.1,59.27,0.0,0,0.0,0.0,26.2,16.0,low_bike_demand
16,4,12,0,1,0,10.7,2.8,58.05,0.0,0,0.0,7.3,96.4,16.0,low_bike_demand
1,0,10,0,1,1,17.1,12.8,75.84,0.0,0,0.0,17.8,79.3,16.0,low_bike_demand
23,2,5,0,1,1,11.6,7.1,74.04,0.0,0,0.0,20.2,35.9,16.0,low_bike_demand
10,0,11,0,1,0,12.3,2.2,50.24,0.0,0,0.0,16.2,0.0,16.0,low_bike_demand
16,0,11,0,1,0,10.0,-3.9,37.53,0.0,0,0.0,31.1,48.1,16.0,low_bike_demand
10,5,8,0,0,1,24.9,22.1,84.38,0.0,0,0.0,0.0,76.2,16.0,low_bike_demand
16,0,7,0,1,1,31.6,16.1,39.32,0.0,0,0.0,9.1,80.3,16.0,low_bike_demand
14,6,5,0,0,1,19.4,16.7,83.97,0.0,0,0.0,12.6,71.4,16.0,low_bike_demand
17,4,3,0,1,0,21.0,9.4,47.47,0.0,0,0.0,20.0,44.6,16.0,high_bike_demand
14,0,3,0,1,1,7.8,4.3,78.92,0.0,0,0.0,6.1,99.2,14.2,low_bike_demand
4,4,6,0,1,1,19.2,16.6,84.53,0.0,0,0.0,5.4,0.0,16.0,low_bike_demand
14,5,9,0,0,1,22.8,16.6,68.14,0.0,0,0.0,12.6,97.8,16.0,high_bike_demand
16,3,1,0,1,0,12.3,-2.9,34.75,0.0,0,0.0,5.6,24.4,16.0,low_bike_demand
8,3,11,1,1,0,8.7,6.1,83.86,0.0,0,0.0,8.9,24.4,16.0,low_bike_demand
1,1,9,0,1,1,19.7,14.9,74.24,0.0,0,0.0,7.1,98.8,16.0,low_bike_demand
18,5,3,0,0,0,7.8,-8.4,30.9,0.0,0,0.0,18.7,46.6,16.0,low_bike_demand
10,4,7,0,1,1,27.2,23.3,79.32,0.0,0,0.0,12.2,97.2,16.0,low_bike_demand
20,0,8,0,1,1,25.0,21.1,78.86,0.0,0,0.0,25.2,87.5,15.2,low_bike_demand
11,5,4,0,0,1,22.3,13.7,58.5,0.0,0,0.0,29.8,82.3,16.0,high_bike_demand
20,3,1,0,1,0,-0.7,-9.0,53.58,0.0,0,0.0,10.6,79.3,16.0,low_bike_demand
11,4,11,0,1,0,11.7,7.2,74.23,0.0,0,0.0,5.4,100.0,15.7,low_bike_demand
18,2,7,0,1,1,32.2,22.1,55.42,0.0,0,0.0,15.6,85.6,16.0,high_bike_demand
3,5,2,0,0,0,-0.1,-9.4,49.58,0.0,0,0.0,33.9,25.4,16.0,low_bike_demand
11,5,2,0,0,0,1.7,-7.8,49.52,0.0,0,0.0,19.2,99.6,16.0,low_bike_demand
15,3,4,0,1,1,11.7,9.7,87.55,0.019,0,0.0,17.3,100.0,10.9,low_bike_demand
16,4,8,0,1,1,32.4,23.2,58.3,0.0,0,0.0,10.3,88.9,15.8,high_bike_demand
17,0,5,0,1,1,25.7,9.3,35.57,0.0,0,0.0,7.0,24.4,16.0,high_bike_demand
14,5,12,0,0,0,15.5,12.2,80.5,0.0,0,0.0,27.3,88.9,16.0,high_bike_demand
4,3,8,0,1,1,23.2,22.2,93.7,0.0,0,0.0,9.3,94.3,16.0,low_bike_demand
0,0,7,0,1,1,26.9,22.1,75.08,0.0,0,0.0,9.9,24.4,16.0,low_bike_demand
7,4,2,0,1,0,4.2,-6.6,45.11,0.0,0,0.0,22.5,82.9,16.0,low_bike_demand
20,6,4,0,0,1,15.9,3.5,43.45,0.0,0,0.0,7.4,83.9,16.0,low_bike_demand
1,6,6,0,0,1,24.8,20.6,77.28,0.0,0,0.0,17.8,79.3,16.0,low_bike_demand
12,3,5,0,1,1,19.9,14.4,70.65,0.0,0,0.0,9.5,100.0,16.0,low_bike_demand
5,1,12,0,1,0,5.5,2.1,78.47,0.0,0,0.0,11.0,99.2,15.9,low_bike_demand
16,1,8,0,1,1,32.2,23.7,60.65,0.0,0,0.0,17.7,79.3,16.0,low_bike_demand
1,3,5,0,1,1,11.4,6.5,71.81,0.0,0,0.0,9.0,44.6,16.0,low_bike_demand
13,2,6,0,1,1,24.9,5.7,28.98,0.0,0,0.0,22.0,26.4,16.0,low_bike_demand
21,0,3,0,1,0,9.8,-0.7,48.31,0.0,0,0.0,7.4,79.3,16.0,low_bike_demand
11,3,5,0,1,1,28.9,12.1,35.48,0.0,0,0.0,7.6,91.1,16.0,low_bike_demand
12,4,3,0,1,1,14.9,12.8,87.32,0.0,0,0.0,14.0,24.4,16.0,high_bike_demand
15,3,8,0,1,1,32.3,23.6,60.06,0.0,0,0.0,6.7,48.2,14.2,low_bike_demand
5,2,5,0,1,1,10.5,-3.8,36.23,0.0,0,0.0,11.3,99.6,16.0,low_bike_demand
4,0,10,1,1,1,18.7,16.2,85.44,0.0,0,0.0,17.6,100.0,16.0,low_bike_demand
3,0,11,0,1,0,4.3,-6.2,46.59,0.0,0,0.0,27.2,27.3,16.0,low_bike_demand
13,2,6,0,1,1,32.9,22.1,52.99,0.0,0,0.0,13.0,44.6,16.0,low_bike_demand
5,4,3,0,1,1,9.2,7.8,91.28,0.0,0,0.0,8.9,90.1,7.2,low_bike_demand
7,6,4,0,0,1,17.7,15.1,84.41,0.0,0,0.0,28.1,100.0,16.0,low_bike_demand
14,5,10,0,0,1,25.0,16.6,59.8,0.0,0,0.0,21.8,81.3,16.0,high_bike_demand
11,6,8,0,0,1,29.2,22.8,68.43,0.0,0,0.0,21.9,79.3,16.0,high_bike_demand
15,0,8,0,1,1,33.3,24.2,59.1,0.0,0,0.0,16.8,82.9,16.0,high_bike_demand
